study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
time,theta,1,0.5,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.2,5,1,0.040587123408846,29978,0.044936478130074,0.060183118170331,0,0
time,theta,1,0.5,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.1,10,1,0.040587123408846,29978,0.011316828785892,0.015451364806138,1.989417317353,1.9616245808219
time,theta,1,0.5,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.05,20,1,0.040587123408846,29978,0.0027782535608133,0.0048705888475836,2.0262195614017,1.6655661679673
time,theta,1,0.5,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.025,40,1,0.040587123408846,29978,0.0006351840145726,0.0032723388164992,2.1289317644005,0.57377407071174
time,theta,1,0.5,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.0125,80,1,0.040587123408846,29978,9.9400838424292e-05,0.0031663434662301,2.6758446794284,0.047504373016343
