study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
time,theta,1,1,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.2,5,1,0.040587123408846,29978,0.25909479240106,0.34660692494678,0,0
time,theta,1,1,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.1,10,1,0.040587123408846,29978,0.11222547635229,0.15014961857413,1.207079798858,1.2068996687386
time,theta,1,1,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.05,20,1,0.040587123408846,29978,0.049205087259523,0.065885900007574,1.1895208328981,1.1883591523485
time,theta,1,1,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.025,40,1,0.040587123408846,29978,0.022480956814984,0.030225151762532,1.1301040423191,1.1242201691908
time,theta,1,1,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.0125,80,1,0.040587123408846,29978,0.010632755238996,0.014556477205598,1.0801879523666,1.0540883303629
