study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
time,newmark,1,0.5,0,0.5,mesh/square_5x5_h0p0625.msh,0.02,50,1,0.082290703631885,7554,1.8705894306514e+49,1.8643414963514e+51,0,0
time,newmark,1,0.5,0,0.5,mesh/square_5x5_h0p0625.msh,0.01,100,1,0.082290703631885,7554,0.00038338782366605,0.0063817362037982,175.02687745212,177.60883429594
time,newmark,1,0.5,0,0.5,mesh/square_5x5_h0p0625.msh,0.005,200,1,0.082290703631885,7554,0.00034081871628025,0.0063772796929053,0.16979995370693,0.0010078185462584
time,newmark,1,0.5,0,0.5,mesh/square_5x5_h0p0625.msh,0.0025,400,1,0.082290703631885,7554,0.00033018753292127,0.0063759841774546,0.045718915649321,0.00029310672804527
time,newmark,1,0.5,0,0.5,mesh/square_5x5_h0p0625.msh,0.00125,800,1,0.082290703631885,7554,0.00032752990236304,0.0063752543278384,0.011659022821382,0.00016515265127673
