study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
space,theta,1,1,0.25,0.5,mesh/square_5x5_h0p5.msh,0.000625,1600,1,0.63462003606086,142,0.019360358282941,0.059184250996626,0,0
space,theta,1,1,0.25,0.5,mesh/square_5x5_h0p25.msh,0.000625,1600,1,0.34927750243648,511,0.0047274571189444,0.026592078589526,2.3609096784433,1.3397456151702
space,theta,1,1,0.25,0.5,mesh/square_5x5_h0p125.msh,0.000625,1600,1,0.16477491853828,1934,0.00080709779864802,0.012769964112601,2.3528950433607,0.97634881054949
space,theta,1,1,0.25,0.5,mesh/square_5x5_h0p0625.msh,0.000625,1600,1,0.082290703631885,7554,0.00018967655596518,0.0063457777385014,2.0856663113996,1.007178111612
