study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
space,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p5.msh,0.01,500,5,0.63462003606086,142,0.040297449734446,0.22049881047121,0,0
space,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p25.msh,0.01,500,5,0.34927750243648,511,0.011044931069706,0.1080350940103,2.1674546506554,1.1947158696197
space,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p125.msh,0.01,500,5,0.16477491853828,1934,0.0025784732873719,0.053359149405868,1.936377735026,0.93893716718275
space,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p0625.msh,0.01,500,5,0.082290703631885,7554,0.00043527454869901,0.026580572796443,2.5621758891632,1.003661973165
