study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
time,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.2,25,5,0.040587123408846,29978,0.12647751826275,0.16965266843464,0,0
time,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.1,50,5,0.040587123408846,29978,0.030266023161039,0.042538506576945,2.0631099364222,1.9957428323024
time,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.05,100,5,0.040587123408846,29978,0.0073566042914642,0.016455453478754,2.0405872264219,1.3702035999444
time,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.025,200,5,0.040587123408846,29978,0.0017061661274171,0.01341867950731,2.1082818644693,0.29432307758712
time,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p03125.msh,0.0125,400,5,0.040587123408846,29978,0.00030126594302522,0.013237980437041,2.5016486309905,0.019559663237574
