study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
space,newmark,1,0.5,0,0.5,mesh/square_5x5_h0p5.msh,0.0025,400,1,0.63462003606086,142,0.019898000369958,0.059741061816562,0,0
space,newmark,1,0.5,0,0.5,mesh/square_5x5_h0p25.msh,0.0025,400,1,0.34927750243648,511,0.0052408053764394,0.026907263268805,2.2341494877232,1.3356951484223
space,newmark,1,0.5,0,0.5,mesh/square_5x5_h0p125.msh,0.0025,400,1,0.16477491853828,1934,0.0013117320849172,0.012895072477405,1.8436735284787,0.97905548292537
space,newmark,1,0.5,0,0.5,mesh/square_5x5_h0p0625.msh,0.0025,400,1,0.082290703631885,7554,0.00033018753292127,0.0063759841774546,1.9867474130597,1.0143802555516
