study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
time,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p0625.msh,0.004,1250,5,0.082290703631885,7554,0.00067127043025392,0.026592307318839,0,0
time,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p0625.msh,0.002,2500,5,0.082290703631885,7554,0.00070586898390081,0.026594563234596,-0.072506337727213,-0.00012238352976855
time,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p0625.msh,0.001,5000,5,0.082290703631885,7554,0.00071454198445317,0.026595104271871,-0.017618352251323,-2.9349752677814e-05
time,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p0625.msh,0.0005,10000,5,0.082290703631885,7554,0.00071671936831497,0.026595154914704,-0.0043895593447472,-2.7472008932894e-06
