study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
space,theta,1,0.5,0.25,0.5,mesh/square_5x5_h0p5.msh,0.0025,400,1,0.63462003606086,142,0.019887296644205,0.059731283686546,0,0
space,theta,1,0.5,0.25,0.5,mesh/square_5x5_h0p25.msh,0.0025,400,1,0.34927750243648,511,0.0052301993970338,0.026903307180923,2.2366407925787,1.3356672647299
space,theta,1,0.5,0.25,0.5,mesh/square_5x5_h0p125.msh,0.0025,400,1,0.16477491853828,1934,0.0013011168051193,0.012892897564848,1.8517925478082,0.97908428545706
space,theta,1,0.5,0.25,0.5,mesh/square_5x5_h0p0625.msh,0.0025,400,1,0.082290703631885,7554,0.00031956498699863,0.0063744337815826,2.022141106822,1.0144875758291
