study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
space,theta,1,0,0.25,0.5,mesh/square_5x5_h0p5.msh,0.000625,1600,1,0.63462003606086,142,0.020426935084505,0.060329307516377,0,0
space,theta,1,0,0.25,0.5,mesh/square_5x5_h0p25.msh,0.000625,1600,1,0.34927750243648,511,0.0057467782205416,0.027347602527503,2.1237450707911,1.3249205126191
space,theta,1,0,0.25,0.5,mesh/square_5x5_h0p125.msh,0.000625,1600,1,0.16477491853828,1934,0.0018132084830567,0.013425610452376,1.5354218814629,0.94699547609218
space,theta,1,0,0.25,0.5,mesh/square_5x5_h0p0625.msh,0.000625,1600,1,0.082290703631885,7554,0.008925549076329,0.84242337574494,-2.2955045531935,-5.9613795891135
