study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
space,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p5.msh,0.0025,2000,5,0.63462003606086,142,0.040542813398484,0.22060761808075,0,0
space,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p25.msh,0.0025,2000,5,0.34927750243648,511,0.011309828764858,0.10810507273072,2.1379312219697,1.194457661568
space,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p125.msh,0.0025,2000,5,0.16477491853828,1934,0.0028471700547537,0.053389627286862,1.8359799157367,0.93903900614328
space,newmark,1,0.5,0.25,0.5,mesh/square_5x5_h0p0625.msh,0.0025,2000,5,0.082290703631885,7554,0.00069937107815083,0.026594029970412,2.021970789817,1.0037554028119
