study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
space,newmark,1,0.5,0.25,0.5,mesh/unit_square_h0p2.msh,0.0005,1000,0.5,0.2521220171192,44,0.0090566844549026,0.29470117550454,0,0
space,newmark,1,0.5,0.25,0.5,mesh/unit_square_h0p1.msh,0.0005,1000,0.5,0.11583795400218,143,0.0023628231354925,0.14970957577583,1.7276711382907,0.87083248447316
space,newmark,1,0.5,0.25,0.5,mesh/unit_square_h0p05.msh,0.0005,1000,0.5,0.069855500487293,511,0.00063961953396722,0.075758557246335,2.58369587698,1.346767681771
space,newmark,1,0.5,0.25,0.5,mesh/unit_square_h0p025.msh,0.0005,1000,0.5,0.031541756161616,1937,0.00015218051688346,0.037510919710785,1.8057806233491,0.88404562202179
