study,method,fe_degree,theta,beta,gamma,mesh_file,dt,n_steps,t_final,h,ndofs,l2_error,h1_error,observed_order_l2,observed_order_h1
time,newmark,1,0.5,0.25,0.5,mesh/unit_square_h0p025.msh,0.004,125,0.5,0.031541756161616,1937,0.00013680628529055,0.037506877395471,0,0
time,newmark,1,0.5,0.25,0.5,mesh/unit_square_h0p025.msh,0.002,250,0.5,0.031541756161616,1937,0.00014833069605955,0.037509355294732,-0.11668267143727,-9.5308784471216e-05
time,newmark,1,0.5,0.25,0.5,mesh/unit_square_h0p025.msh,0.001,500,0.5,0.031541756161616,1937,0.00015140335479581,0.037510720472096,-0.029579988001728,-5.2506868151558e-05
time,newmark,1,0.5,0.25,0.5,mesh/unit_square_h0p025.msh,0.0005,1000,0.5,0.031541756161616,1937,0.00015218051688346,0.037510919710785,-0.007386494762439,-7.6628734978056e-06
