step,time,energy,energy_ratio,probe_u,exact_probe_u,probe_error
0,0,39.3579422699372,1,0.9963155957982315,1,-0.003684404201768521
1,0.1,34.93108031243534,0.8875230334162254,0.8842603085936397,0.9374967172870838,-0.05323640869344415
2,0.2,31.00231353445835,0.7877015856628984,0.6853532490939184,0.7578001898481167,-0.07244694075419833
3,0.3,27.51543005849508,0.6991074347784744,0.4317319725476915,0.4833736633971927,-0.05164169084950121
4,0.4,24.42072296663394,0.6204776357245494,0.1580759877163197,0.1485222554676833,0.009553732248636398
5,0.5,21.6740829530266,0.5506914666517495,-0.1025800096841391,-0.2048954095071392,0.102315399823
6,0.6000000000000001,19.23636222920532,0.4887542671126546,-0.3223794147327004,-0.5326998030679549,0.2103203883352546
7,0.7000000000000001,17.07281609154269,0.433783249501421,-0.4811963483560413,-0.7939132238442281,0.3127168754881868
8,0.8,15.1526076496443,0.3849949152758001,-0.5680291764096209,-0.9558822792615844,0.3878531028519635
9,0.9,13.44836829675497,0.3416938874628934,-0.5812097776017737,-0.9983597739970337,0.41714999639526
10,1,11.93580762231295,0.3032629993827163,-0.5275401456418087,-0.9160357423258035,0.3884955966839948
11,1.1,10.59336720053571,0.269154498166619,-0.4205747576421887,-0.7192012286991216,0.2986264710569329
12,1.2,9.40191331881873,0.2388822376519465,-0.278337413321777,-0.4324618396227241,0.1541244263009471
13,1.3,8.344464265838013,0.2120147493638602,-0.1207921282370195,-0.0916618812973527,-0.0291302469396668
14,1.4,7.40594829217764,0.1881690928195331,0.03262020242536239,0.2605964139894711,-0.2279762115641087
15,1.5,6.572988793609563,0.1670053975009312,0.1651096511396377,0.5802784466011828,-0.4151687954615451
16,1.6,5.833713655210198,0.1482220187020846,0.2641277743298881,0.8274218636126432,-0.5632940892827552
17,1.7,5.177586038885623,0.1315512382068923,0.3223021350720395,0.971132115295646,-0.6488299802236066
18,1.8,4.595254202519812,0.1167554485192131,0.3376834259784789,0.9934444766708163,-0.6557610506923373
19,1.9,4.078418210222502,0.1036237662591858,0.3133547346681839,0.8915697560761044,-0.5782150214079205
20,2,3.619711633903611,0.09196902645666152,0.2565187037379901,0.6782429624367717,-0.4217242586987816
21,2.1,3.212596560073093,0.08162511490157282,0.1772240321566558,0.3801313455389764,-0.2029073133823205
22,2.2,2.851270405404251,0.07244460052938639,0.08691514201437835,0.03450081472465236,0.05241432728972598
23,2.3,2.530583212908541,0.06429663409617524,-0.003011978140286306,-0.3154425444427935,0.3124305663025072
24,2.4,2.245964249949536,0.05706508319326117,-0.08248603491472419,-0.6259535145402586,0.5434674796255344
25,2.5,1.99335686190238,0.05064687701991388,-0.1437441526849586,-0.8582161856688175,0.7144720329838589
26,2.6,1.769160652932192,0.04495053732226065,-0.1819453294812201,-0.9831961990340601,0.80125086955284
27,2.7,1.570180169798027,0.03989487455997869,-0.1953862780838881,-0.985270232418321,0.7898839543344329
28,2.8,1.393579357276023,0.03540783071732086,-0.1853400951543346,-0.8641790180316564,0.6788389228773218
29,2.9,1.236841136057994,0.03142545226513864,-0.1555783207068054,-0.6350597526877851,0.4794814319809797
30,3,1.097731526992005,0.02789097863560021,-0.111665748432934,-0.3265538488202366,0.2148881003873025
31,3.1,0.9742678103301542,0.02475403321769517,-0.06013285749526182,0.022773430114916,-0.08290628761017782
32,3.2,0.8646902661594833,0.02196990534284005,-0.007632707325683896,0.3692538807684394,-0.3768865880941233
33,3.3,0.7674370932343137,0.01949891302677441,0.03982113095331959,0.6695751720169402,-0.6297540410636205
34,3.4,0.6811221487298345,0.01730583738495131,0.07745900849874185,0.8861951707171919,-0.80873616221845
35,3.5,0.6045151916431548,0.01535942066018279,0.1021517448013287,0.9920349548291273,-0.8898832100277986
36,3.6,0.536524348252379,0.01363192070796325,0.1125780665671762,0.9738638564555039,-0.8612857898883277
37,3.7,0.4761805497150853,0.01209871558958016,0.1091698753004974,0.8339533821940214,-0.724783506893524
38,3.8,0.4226237199963534,0.01073795263730458,0.09386648767798531,0.5897932598992088,-0.4959267722212235
39,3.9,0.3750905172638365,0.009530236989811891,0.06972697522887904,0.2719051078730894,-0.2021781326442104
40,4,0.3329034540288036,0.008458355158549168,0.04046016422690913,-0.07997296780998368,0.1204331320368928
41,4.100000000000001,0.2954612409632801,0.007507029685059588,0.009934418523486683,-0.4218538974602233,0.43178831598371
42,4.2,0.2622302167643607,0.006662701392411467,-0.01827538529568134,-0.7110003202774547,0.6927249349817735
43,4.3,0.2327367419161436,0.00591333612717642,-0.04125692114522739,-0.9112670350401367,0.8700101138949093
44,4.4,0.2065604479380905,0.005248253237463273,-0.05701344931770057,-0.9976193875666705,0.9406059382489699
45,4.5,0.183328245901813,0.00465797334231685,-0.06458541550143437,-0.9592627668512714,0.8946773513498371
46,4.600000000000001,0.1627090088200824,0.004134083222749288,-0.06404171944235434,-0.8009920023109126,0.7369502828685582
47,4.7,0.1444088521165198,0.003669115908705005,-0.05635629373652881,-0.5425919786281092,0.4862356848915803
48,4.800000000000001,0.1281669449088211,0.003256444252847002,-0.04319677347239694,-0.2163643952693966,0.1731676217969997
49,4.9,0.1137517924040241,0.002890186474278947,-0.02665891266165684,0.1369101580223805,-0.1635690706840373
50,5,0.1009579364190518,0.002565122325924203,-0.008982720022159465,0.4730700426878686,-0.4820527627100281
