step,time,energy,energy_ratio,probe_u,exact_probe_u,probe_error
0,0,39.3579422699372,1,0.9963155957982315,1,-0.003684404201768521
1,0.001,39.35844184596045,1.00001269314386,0.9963155957982315,0.9999936834598331,-0.003678087661601603
2,0.002,39.3589414317229,1.000025386535171,0.9963029703795239,0.9999747339191297,-0.003671763539605855
3,0.003,39.35944102724076,1.000038080174347,0.996277719542109,0.999943151617281,-0.003665432075172004
4,0.004,39.3599406325303,1.000050774061799,0.9962398434458565,0.9998989369532686,-0.003659093507412114
5,0.005,39.36044024760791,1.000063468197945,0.9961893424105058,0.9998420904856601,-0.003652748075154255
6,0.006,39.36093987249004,1.000076162583203,0.9961262169156677,0.9997726129326012,-0.003646396016933506
7,0.007,39.36143950719323,1.000088857217993,0.9960504676008245,0.9996905051718077,-0.00364003757098319
8,0.008,39.36193915173405,1.000101552102735,0.9959620952653336,0.9995957682405533,-0.003633672975219659
9,0.009000000000000001,39.36243880612923,1.000114247237856,0.9958611008684297,0.9994884033356575,-0.003627302467227755
10,0.01,39.3629384703956,1.000126942623782,0.9957474855292291,0.9993684118134696,-0.003620926284240489
11,0.011,39.36343814454993,1.00013963826094,0.9956212505267329,0.9992357951898522,-0.003614544663119279
12,0.012,39.36393782860925,1.000152334149762,0.9954823972998317,0.9990905551401617,-0.003608157840329973
13,0.013,39.36443752259057,1.00016503029068,0.9953309274473091,0.9989326934992274,-0.003601766051918309
14,0.014,39.36493722651102,1.00017772668413,0.9951668427278449,0.998762212261328,-0.00359536953348305
15,0.015,39.36543694038781,1.000190423330549,0.9949901450600187,0.9985791135801668,-0.003588968520148117
16,0.016,39.36593666423826,1.000203120230378,0.9948008365223102,0.998383399768844,-0.003582563246533832
17,0.017,39.36643639807971,1.000215817384056,0.9945989193531003,0.998175073299828,-0.003576153946727723
18,0.018,39.36693614192971,1.000228514792029,0.9943843959506679,0.9979541368049238,-0.003569740854255987
19,0.019,39.36743589580572,1.000241212454742,0.9941572688731866,0.99772059307524,-0.003563324202053408
20,0.02,39.36793565972551,1.000253910372645,0.9939175408387172,0.997474445061153,-0.003556904222435819
