step,time,energy,energy_ratio,probe_u,exact_probe_u,probe_error
0,0,39.3579422699372,1,0.9963155957982315,1,-0.003684404201768521
1,0.1,40.12720273464251,1.019545240943475,0.9331885022608892,0.9374967172870838,-0.004308215026194606
2,0.2,2352.070608629696,59.76101576901493,0.7518007137364718,0.7578001898481167,-0.005999476111644864
3,0.3,6633719.764620819,168548.4398326347,0.476535667990163,0.4833736633971927,-0.006837995407029673
4,0.4,20565090571.86913,522514374.1210622,-0.08184295508834795,0.1485222554676833,-0.2303652105560313
