step,time,energy,energy_ratio,probe_u,exact_probe_u,probe_error
0,0,39.3579422699372,1,0.9963155957982315,1,-0.003684404201768521
1,0.02,39.15931499488732,0.9949533114895188,0.9912908966640467,0.997474445061153,-0.006183548397106331
2,0.04,38.9617632134258,0.9899339489398559,0.9812921803311732,0.9899105371001103,-0.008618356768937185
3,0.06,38.76523725022488,0.98494065020861,0.9663949584977104,0.9773464822470881,-0.01095152374937769
4,0.08,38.56971504802302,0.9799728548685775,0.9466990665649907,0.959845742923658,-0.01314667635866729
5,0.1,38.37518473686504,0.975030261329927,0.9223280374755314,0.9374967172870838,-0.01516867981155245
6,0.12,38.18163839322609,0.9701126682730665,0.8934283591755074,0.9104122927215151,-0.01698393354600769
7,0.14,37.98906971472812,0.9652199155682316,0.8601686199807151,0.8787292756314069,-0.01856065565069176
8,0.16,37.79747311290011,0.9603518612244872,0.8227385467923684,0.8426077004173379,-0.01986915362496955
9,0.18,37.6068433404476,0.9555083719194551,0.7813479421458361,0.80223002112467,-0.02088207897883387
10,0.2,37.41717532933947,0.9506893188854504,0.7362255249110616,0.7578001898481167,-0.02157466493705507
11,0.22,37.22846411628092,0.9458945760159102,0.6876176766746228,0.7095426265473032,-0.02192494987268034
12,0.24,37.04070480636316,0.9411240189418131,0.6357870957951479,0.6577010854768917,-0.02191398968174374
13,0.26,36.85389255430965,0.9363775245551845,0.5810113665116033,0.6025374239570578,-0.02152605744545444
14,0.28,36.66802255427257,0.9316549707498486,0.5235814586641561,0.544330279703394,-0.02074882103923792
15,0.3,36.48309003399886,0.9269562362731998,0.4638001788925717,0.4833736633971929,-0.01957348450462121
16,0.32,36.29909025133682,0.9222812006374423,0.4019805928455126,0.4199754736051887,-0.01799488075967604
17,0.34,36.11601849205173,0.9176297440640907,0.3384444307455896,0.3544559415500683,-0.01601151080447871
18,0.36,35.93387006840246,0.9130017474478042,0.2735204796373319,0.2871460135873771,-0.01362553395004512
19,0.38,35.75264031817616,0.9083970923318599,0.2075429588559814,0.2183856795591142,-0.0108427207031328
20,0.4,35.57232460400709,0.9038156608908471,0.1408498725057332,0.1485222554676833,-0.007672382961950081
21,0.42,35.39291831287686,0.8992573359179667,0.07378133353613049,0.07790862914460231,-0.004127295608471818
22,0.44,35.21441685573274,0.8947220008153371,0.006677856996938354,0.006901477775291397,-0.0002236207783530425
23,0.46,35.03681566718547,0.8902095395863128,-0.06012137563043082,-0.06414053371658097,0.004019158086150151
24,0.48,34.8601102052602,0.8857198368291581,-0.1262802735904529,-0.134858564325037,0.008578290734584132
25,0.5,34.68429595118508,0.8812527777316754,-0.1914676013784737,-0.2048954095071392,0.01342780812866548
26,0.52,34.50936840920589,0.8768082480664952,-0.2553587295465065,-0.2738973054623857,0.01853857591587921
27,0.54,34.33532310641939,0.8723861341868414,-0.317637345299498,-0.3415157160325376,0.02387837073303961
28,0.5600000000000001,34.16215559262019,0.8679863230226418,-0.3779970946564633,-0.4074090931960496,0.02941199853958631
29,0.58,33.98986144015778,0.8636087020768939,-0.4361431311621077,-0.4712446022646564,0.03510147110254863
