step,time,energy,energy_ratio,probe_u,exact_probe_u,probe_error
0,0,39.3579422699372,1,0.9963155957982315,1,-0.003684404201768521
1,0.15,30.62545419515114,0.7781264067390994,0.7752661079755774,0.8612124196146944,-0.08594631163911703
2,0.3,23.83061597788943,0.6054842962685065,0.4312506928966899,0.4833736633971929,-0.05212297050050296
3,0.45,18.54334450443594,0.4711461889256319,0.06787860242316475,-0.02863761515006375,0.09651621757322851
4,0.6,14.42915406824642,0.3666135279452313,-0.2299314095498499,-0.5326998030679546,0.3027683935181047
5,0.75,11.22777434392622,0.2852734085262974,-0.4106498739252771,-0.8888977575067851,0.478247883581508
6,0.8999999999999999,8.73668104464045,0.2219801275361338,-0.460161523987849,-0.9983597739970337,0.5381982500091846
7,1.05,6.798283735414937,0.1727296536182908,-0.3965934214254914,-0.8307019157131444,0.4341084942876531
8,1.2,5.289956394227264,0.1344063253598473,-0.2591383137999326,-0.4324618396227249,0.1733235258227923
9,1.35,4.116279894291443,0.1045857495816183,-0.09468577222053209,0.08581890112812755,-0.1805046733486597
10,1.5,3.203005640586825,0.08138143042689959,0.05428792159023255,0.5802784466011828,-0.5259905250109502
11,1.65,2.492358488118179,0.0633254266959459,0.1581644871209134,0.9136671089671935,-0.7555026218462801
12,1.8,1.939381796500114,0.04927548760549592,0.2039024318780537,0.9934444766708164,-0.7895420447927627
13,1.95,1.509093403130527,0.03834279223187993,0.1942529285595684,0.7974663340458615,-0.6032134054862932
14,2.1,1.174272597333256,0.02983572132098484,0.143645605429678,0.3801313455389764,-0.2364857401092984
15,2.25,0.9137380959972488,0.02321610438194046,0.07239594172762687,-0.1427186623198391,0.215114604047466
16,2.4,0.7110080827717741,0.01806517418759628,0.0008919487447123459,-0.6259535145402572,0.6268454632849695
17,2.55,0.5532575428160534,0.0140570749106121,-0.05494541844013751,-0.9354392193272361,0.8804938008870985
18,2.7,0.4305069324817064,0.01093824797874509,-0.08620352436889422,-0.9852702324183213,0.8990667080494271
19,2.85,0.3349908579137803,0.008511391566567153,-0.09140054949557039,-0.7616147023433929,0.6702141528478225
20,3,0.2606668241997799,0.006622978976187108,-0.07516558385983572,-0.3265538488202366,0.2513882649604008
21,3.15,0.2028329777762785,0.005153546300392043,-0.04585575318468497,0.1991502417894586,-0.2450059949741435
22,3.3,0.1578306598851968,0.004010134950722581,-0.01287489973796224,0.6695751720169388,-0.682450071754901
23,3.45,0.1228129541503332,0.003120410953093489,0.0156450687164728,0.9541426662238078,-0.9384975975073351
24,3.6,0.09556458623508685,0.00242808898848561,0.03436619202091924,0.9738638564555042,-0.9394976644345849
25,3.75,0.0743617821545746,0.001889371696430746,0.04130889469130114,0.7232646301628758,-0.6819557354715746
26,3.9,0.05786321966175955,0.001470178986109171,0.03754607156712036,0.2719051078730911,-0.2343590363059708
27,4.05,0.04502517412326137,0.001143992076985513,0.02628779820430156,-0.2549285184489171,0.2812163166532186
28,4.2,0.03503549088143983,0.0008901758796521485,0.01169494144994898,-0.7110003202774547,0.7226952617274037
29,4.35,0.02726220709204189,0.0006926735880921702,-0.00225495827782725,-0.9697160938970204,0.9674611356191931
30,4.5,0.02121357277523327,0.000538990901245283,-0.01260950494707604,-0.9592627668512714,0.9466532619041954
31,4.649999999999999,0.01650694194974085,0.0004194056141585774,-0.01786904405941838,-0.6825419230755221,0.6646728790161037
32,4.8,0.01284456585503818,0.0003263525762333681,-0.01799707118350391,-0.2163643952694001,0.1983673240858962
33,4.95,0.009994756903292393,0.0002539451080735665,-0.01410370372351859,0.309870514338662,-0.3239742180621806
