step,time,energy,energy_ratio,probe_u,exact_probe_u,probe_error
0,0,39.3579422699372,1,0.9963155957982315,1,-0.003684404201768521
1,0.02,39.55777267923759,1.005077257543848,0.9963155957982315,0.997474445061153,-0.001158849262921535
2,0.04,39.75916136116557,1.01019410741742,0.991265428315244,0.9899105371001103,0.001354891215133658
3,0.06,39.96314536205743,1.015376898720198,0.9811650933492693,0.9773464822470881,0.00381861110218118
4,0.08,40.1728508036262,1.020705059428665,0.9660401700749869,0.959845742923658,0.006194427151328896
5,0.1,40.39791894570287,1.026423553056534,0.9459418168417573,0.9374967172870838,0.00844509955467343
6,0.12,40.66861091281676,1.033301249183464,0.9209468227526946,0.9104122927215151,0.01053453003117943
7,0.14,41.08125892807743,1.043785740786976,0.8911577108228089,0.8787292756314069,0.01242843519140202
8,0.16,41.94615140065262,1.065760783756532,0.8567017088770544,0.8426077004173379,0.01409400845971653
9,0.18,44.27284861510149,1.1248771165793,0.8177262205099349,0.80223002112467,0.01549619938526492
10,0.2,51.37524272835709,1.305333555702659,0.7743933698438853,0.7578001898481167,0.01659317999576859
11,0.22,74.21797748009782,1.885717931366239,0.7268933857486481,0.7095426265473032,0.01735075920134499
12,0.24,149.3450267184282,3.794533405586667,0.6755051991543681,0.6577010854768917,0.01780411367747647
13,0.26,399.3852992069921,10.14751473712219,0.6206578972057426,0.6025374239570578,0.01812047324868482
14,0.28,1238.501317740493,31.46763388304724,0.5627387038145152,0.544330279703394,0.0184084241111212
15,0.3,4074.141627474381,103.5151075615642,0.5013170987838905,0.4833736633971929,0.01794343538669763
16,0.32,13717.8728804557,348.5414147510915,0.4343174040053195,0.4199754736051887,0.01434193040013082
17,0.34,46714.32830752704,1186.909823362612,0.3599486558315669,0.3544559415500683,0.005492714281498667
18,0.36,160274.2412153874,4072.221055565949,0.2851667727178269,0.2871460135873771,-0.001979240869550203
19,0.38,553320.1024300248,14058.66441479761,0.2360409745800026,0.2183856795591142,0.01765529502088847
20,0.4,1921215.185747341,48813.91340458428,0.2423759576355742,0.1485222554676833,0.09385370216789088
21,0.42,6707350.922816994,170419.2479579979,0.2555145850899181,0.07790862914460231,0.1776059559453158
22,0.44,23540608.630818,598115.8382052672,0.0298607505653536,0.006901477775291397,0.02295927279006221
23,0.46,83041803.2138112,2109912.216555109,-0.784837645861423,-0.06414053371658097,-0.720697112144842
24,0.48,294378657.3745145,7479523.58269934,-1.922440549161374,-0.134858564325037,-1.787581984836337
25,0.5,1048478221.383083,26639558.90254818,-1.272029964942855,-0.2048954095071392,-1.067134555435716
26,0.52,3751145127.722498,95308466.63667521,4.834763808722658,-0.2738973054623857,5.108661114185044
27,0.54,13477916891.13592,342444653.1959767,15.8563362515138,-0.3415157160325376,16.19785196754634
