step,time,energy,energy_ratio,probe_u,exact_probe_u,probe_error
0,0,39.3579422699372,1,0.9963155957982315,1,-0.003684404201768521
1,0.15,50.59840279308408,1.285595736841473,0.9963155957982315,0.8612124196146944,0.1351031761835371
2,0.3,66.76933530197068,1.696464079448868,0.712243674880192,0.4833736633971929,0.2288700114829991
3,0.45,272.4427073607969,6.922178641663819,0.1440998330441134,-0.02863761515006375,0.1727374481941772
4,0.6,21766.53305832917,553.0404234307523,-0.6271818223229577,-0.5326998030679546,-0.0944820192550031
5,0.75,2599033.790530788,66035.81489868717,-1.439733076446926,-0.8888977575067851,-0.5508353189401411
6,0.8999999999999999,321857179.1726671,8177693.258585611,-2.04157164044169,-0.9983597739970337,-1.043211866444656
7,1.05,40806824768.78748,1036812963.668504,-2.072241217859101,-0.8307019157131444,-1.241539302145956
