step,time,energy,energy_ratio,probe_u,exact_probe_u,probe_error
0,0,39.3579422699372,1,0.9963155957982315,1,-0.003684404201768521
1,0.05,39.35854883510157,1.000015411506024,0.9805338224138959,0.9842501504412087,-0.00371632802731281
2,0.1,40.65785462035221,1.033027955107499,0.933688095516365,0.9374967172870838,-0.003808621770718834
3,0.15,232.8520885375071,5.916266834797576,0.8572834911455393,0.8612124196146943,-0.003928928469155046
4,0.2,30491.63237351418,774.7262843262164,0.7529462593365635,0.7578001898481167,-0.004853930511553251
5,0.25,5115638.487983015,129977.2852172329,0.6471468080135722,0.6305174821100763,0.01662932590349586
6,0.3,911192820.628054,23151434.45200007,-0.02041078373063488,0.4833736633971927,-0.5037844471278276
7,0.35,171234789664.6984,4350704833.354379,10.82672964166339,0.3210037197259339,10.50572592193746
