step,time,energy,energy_ratio,probe_u,exact_probe_u,probe_error
0,0,39.3579422699372,1,0.9963155957982315,1,-0.003684404201768521
1,0.02,39.3576175171763,0.9999917487362864,0.9937905120567377,0.997474445061153,-0.003683933004415274
2,0.04,39.35691239646283,0.9999738331473912,0.9862280504195967,0.9899105371001103,-0.00368248668051363
3,0.06,39.35565144955901,0.9999417952198192,0.9736666054383648,0.9773464822470881,-0.003679876808723281
4,0.08,39.35396756869022,0.9998990114569579,0.9561696620778387,0.959845742923658,-0.003676080845819274
5,0.1,39.35183895730192,0.9998449280556028,0.933826027693171,0.9374967172870838,-0.003670689593912813
6,0.12,39.3493375742523,0.9997813733343609,0.9067496842146252,0.9104122927215151,-0.003662608506889931
7,0.14,39.34650113343698,0.9997093055215706,0.8750764981748453,0.8787292756314069,-0.003652777456561562
8,0.16,39.3433896279099,0.9996302489106903,0.8389657678098922,0.8426077004173379,-0.003641932607445719
9,0.18,39.34007285849849,0.9995459769894434,0.7986050409783543,0.80223002112467,-0.003624980146315737
10,0.2,39.33660238885872,0.9994577998785577,0.7541999843079042,0.7578001898481167,-0.003600205540212453
11,0.22,39.33307026792928,0.9993680563420381,0.7059664480884594,0.7095426265473032,-0.003576178458843726
12,0.24,39.32952128321519,0.9992778843333047,0.6541506549742697,0.6577010854768917,-0.003550430502621937
13,0.26,39.3260589893269,0.9991899149505421,0.5990289201293129,0.6025374239570578,-0.003508503827744924
14,0.28,39.32272062089189,0.9991050942449241,0.5408666612890888,0.544330279703394,-0.003463618414305203
15,0.3,39.31960069244332,0.9990258236258666,0.4799384797768233,0.4833736633971929,-0.003435183620369597
16,0.32,39.31674585648271,0.9989532884323082,0.416598340480213,0.4199754736051887,-0.003377133124975618
17,0.34,39.31422167894191,0.9988891545524552,0.3512130543460457,0.3544559415500683,-0.003242887204022549
18,0.36,39.3120758492545,0.9988346336714424,0.2840282288739191,0.2871460135873771,-0.003117784713457972
19,0.38,39.31035364525282,0.9987908762008444,0.2152790050923936,0.2183856795591142,-0.00310667446672061
20,0.4,39.30908992058556,0.9987587676963247,0.1454130749098908,0.1485222554676833,-0.003109180557792524
21,0.42,39.30830612238261,0.9987388530829646,0.07496105979412719,0.07790862914460231,-0.002947569350475118
22,0.44,39.30802961199495,0.9987318275533839,0.004219039784585642,0.006901477775291397,-0.002682437990705755
23,0.46,39.30824592921383,0.9987373237050218,-0.06666393416178706,-0.06414053371658097,-0.002523400445206089
24,0.48,39.30897683765299,0.9987558945041289,-0.1373443230579137,-0.134858564325037,-0.002485758732876681
25,0.5,39.31017943818357,0.9987864499768294,-0.2073144185710858,-0.2048954095071392,-0.002419009063946681
26,0.52,39.31185617154598,0.9988290521370468,-0.2761778522312847,-0.2738973054623857,-0.00228054676889905
27,0.54,39.31395130928453,0.9988822850455201,-0.3436356563834845,-0.3415157160325376,-0.00211994035094687
28,0.5600000000000001,39.31643232201559,0.9989453222011223,-0.4093304849290778,-0.4074090931960496,-0.001921391733028133
29,0.58,39.31925766027609,0.999017107922061,-0.4729092369518337,-0.4712446022646564,-0.001664634687177369
30,0.6,39.32234439209948,0.9990955350868304,-0.5340798954079861,-0.5326998030679546,-0.001380092340031447
31,0.62,39.3256632517375,0.9991798601162045,-0.5925019219074024,-0.591464278634131,-0.001037643273271383
32,0.64,39.32911333895487,0.9992675193539183,-0.6478345906511692,-0.647241203140195,-0.0005933875109742637
33,0.66,39.33265861420689,0.9993575971132612,-0.6999092336939968,-0.699748841211827,-0.0001603924821698133
34,0.68,39.33619196254647,0.9994473718356119,-0.7485979882400041,-0.7487219709997092,0.0001239827597050436
35,0.7000000000000001,39.33967875806519,0.9995359637516935,-0.7935690612989192,-0.7939132238442281,0.0003441625453088903
