step,time,energy,energy_ratio,probe_u,exact_probe_u,probe_error
0,0,39.3579422699372,1,0.9963155957982315,1,-0.003684404201768521
1,0.001,39.35744270363703,0.9999873071031827,0.9963029705393945,0.9999936834598331,-0.003690712920438544
2,0.002,39.35694314704389,0.9999746144530002,0.9962777203414634,0.9999747339191297,-0.003697013577666275
3,0.003,39.35644360014184,0.9999619220490471,0.9962398456840548,0.999943151617281,-0.003703305933226209
4,0.004,39.35594406291498,0.9999492298909197,0.9961893472066614,0.9998989369532686,-0.003709589746607178
5,0.005,39.35544453534751,0.9999365379782165,0.9961262257086552,0.9998420904856601,-0.003715864777004918
6,0.006,39.35494501742372,0.9999238463105383,0.9960504821492892,0.9997726129326012,-0.003722130783312072
7,0.007,39.35444550912796,0.9999111548874873,0.9959621176476994,0.9996905051718077,-0.003728387524108312
8,0.008,39.35394601044464,0.9998984637086679,0.9958611334829069,0.9995957682405533,-0.003734634757646349
9,0.009000000000000001,39.35344652135832,0.9998857727736872,0.9957475310938173,0.9994884033356575,-0.003740872241840165
10,0.01,39.35294704185353,0.9998730820821524,0.9956213120792201,0.9993684118134696,-0.003747099734249471
11,0.011,39.35244757191501,0.9998603916336758,0.9954824781977866,0.9992357951898522,-0.003753316992065603
12,0.012,39.35194811152741,0.9998477014278675,0.9953310313680638,0.9990905551401617,-0.003759523772097872
13,0.013,39.35144866067561,0.9998350114643431,0.9951669736684688,0.9989326934992274,-0.003765719830758574
14,0.014,39.35094921934449,0.9998223217427185,0.9949903073372778,0.998762212261328,-0.003771904924050218
15,0.015,39.35044978751906,0.999809632262613,0.9948010347726129,0.9985791135801668,-0.003778078807553875
16,0.016,39.34995036518429,0.9997969430236445,0.9945991585324263,0.998383399768844,-0.00378424123641774
17,0.017,39.34945095232534,0.9997842540254361,0.9943846813344791,0.998175073299828,-0.003790391965348916
18,0.018,39.3489515489274,0.9997715652676114,0.9941576060563172,0.9979541368049238,-0.003796530748606641
19,0.019,39.34845215497575,0.9997588767497965,0.9939179357352425,0.99772059307524,-0.003802657339997517
20,0.02,39.34795277045569,0.9997461884716179,0.9936656735682784,0.997474445061153,-0.003808771492874619
21,0.021,39.34745339535267,0.9997335004327059,0.9934008229121325,0.9972156958722708,-0.003814872960138271
22,0.022,39.3469540296522,0.9997208126326922,0.9931233872831526,0.9969443487773924,-0.003820961494239716
23,0.023,39.34645467333981,0.9997081250712092,0.9928333703572779,0.9966604072044675,-0.003827036847189547
24,0.024,39.3459553264011,0.9996954377478914,0.9925307759699856,0.9963638747405529,-0.003833098770567256
25,0.025,39.34545598882184,0.9996827506623766,0.9922156081162314,0.996054755131767,-0.00383914701553556
26,0.026,39.34495666058772,0.9996700638143017,0.9918878709503853,0.9957330522832427,-0.003845181332857384
27,0.027,39.34445734168465,0.9996573772033086,0.9915475687861619,0.9953987702590777,-0.003851201472915844
28,0.028,39.34395803209853,0.9996446908290388,0.9911947060965459,0.995051913282284,-0.003857207185738121
29,0.029,39.34345873181529,0.9996320046911352,0.9908292875137122,0.9946924857347336,-0.003863198221021324
30,0.03,39.34295944082111,0.9996193187892465,0.9904513178289418,0.9943204921571033,-0.003869174328161473
31,0.031,39.342460159102,0.999606633123017,0.9900608019925324,0.993935937248818,-0.003875135256285578
32,0.032,39.34196088664419,0.9995939476920974,0.989657745113706,0.9935388258679908,-0.003881080754284838
33,0.033,39.34146162343394,0.9995812624961379,0.9892421524605109,0.9931291630313617,-0.003887010570850724
34,0.034,39.34096236945759,0.999568577534792,0.9888140294597225,0.9927069539142341,-0.003892924454511615
35,0.035,39.34046312470154,0.9995558928077138,0.9883733816967391,0.9922722038504099,-0.003898822153670878
36,0.036,39.33996388915223,0.9995432083145592,0.9879202149154751,0.9918249183321214,-0.003904703416646282
37,0.037,39.33946466279617,0.9995305240549851,0.9874545350182539,0.9913651030099625,-0.003910567991708636
38,0.038,39.33896544562005,0.9995178400286532,0.9869763480656968,0.9908927636928171,-0.003916415627120307
39,0.039,39.33846623761048,0.9995051562352233,0.9864856602766119,0.9904079063477857,-0.003922246071173863
40,0.04,39.33796703875415,0.9994924726743577,0.9859824780278826,0.9899105371001103,-0.003928059072227708
41,0.041,39.33746784903792,0.9994797893457221,0.9854668078543546,0.9894006622330965,-0.003933854378741941
42,0.042,39.33696866844863,0.9994671062489822,0.9849386564487247,0.9888782881880342,-0.003939631739309557
43,0.043,39.33646949697321,0.9994544233838061,0.9843980306614294,0.988343421564117,-0.00394539090268764
44,0.044,39.33597033459863,0.9994417407498627,0.9838449375005355,0.9877960691183577,-0.003951131617822234
45,0.045,39.33547118131202,0.9994290583468247,0.983279384131632,0.9872362377655038,-0.003956853633871882
46,0.046,39.33497203710041,0.9994163761743627,0.9827013778777243,0.9866639345779499,-0.003962556700225606
47,0.047,39.33447290195102,0.9994036942321525,0.9821109262191314,0.9860791667856479,-0.003968240566516457
48,0.048,39.33397377585113,0.9993910125198702,0.9815080367933856,0.9854819417760163,-0.003973904982630727
49,0.049,39.33347465878802,0.9993783310371928,0.9808927173951355,0.9848722670938469,-0.003979549698711393
50,0.05,39.33297555074904,0.999365649783799,0.9802649759760534,0.9842501504412087,-0.003985174465155228
51,0.051,39.33247645172166,0.9993529687593706,0.9796248206447451,0.9836155996773513,-0.003990779032606251
52,0.052,39.33197736169338,0.9993402879635896,0.978972259666665,0.9829686228186058,-0.003996363151940741
53,0.053,39.33147828065179,0.9993276073961411,0.9783073014640343,0.9823092280382825,-0.004001926574248138
54,0.054,39.33097920858439,0.9993149270567073,0.9776299546157639,0.9816374236665687,-0.004007469050804846
55,0.055,39.33048014547902,0.9993022469449792,0.9769402278573799,0.980953218190423,-0.004012990333043143
56,0.056,39.32998109132333,0.9992895670606431,0.9762381300809556,0.9802566202534683,-0.004018490172512656
57,0.057,39.32948204610509,0.9992768874033884,0.9755236703350443,0.9795476386558821,-0.004023968320837845
58,0.058,39.3289830098123,0.9992642079729099,0.9747968578246173,0.978826282354286,-0.004029424529668701
59,0.059,39.32848398243277,0.9992515287688979,0.9740577019110049,0.9780925604616322,-0.004034858550627241
60,0.06,39.32798496395449,0.9992388497910475,0.9733062121118383,0.9773464822470881,-0.004040270135249768
61,0.061,39.32748595436554,0.9992261710390556,0.9725423981009965,0.9765880571359197,-0.004045659034923155
62,0.062,39.32698695365405,0.9992134925126207,0.9717662697085521,0.9758172947093725,-0.004051025000820441
63,0.063,39.32648796180807,0.9992008142114392,0.9709778369207198,0.9750342047045503,-0.00405636778383045
